Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Marechal Hermes;2;1;0;70;850.0;200.0;
Apartamento;Praça Seca;2;1;1;63;1100.0;361.0;
Loja Shopping/ Ct Comercial;Barra da Tijuca;0;1;0;81;2500.0;2548.0;727.0
Apartamento;Recreio dos Bandeirantes;2;2;1;72;1580.0;900.0;140.0
Apartamento;Laranjeiras;2;0;0;51;1900.0;450.0;25.0
Apartamento;Botafogo;3;0;0;100;6050.0;1155.0;234.0
Apartamento;Lagoa;2;1;1;90;2700.0;1350.0;250.0
Apartamento;Piedade;2;1;0;83;950.0;;13.0
Apartamento;Pechincha;2;1;1;62;1700.0;500.0;67.0
Apartamento;Flamengo;1;0;0;49;1700.0;440.0;68.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;54;2500.0;1200.0;1800.0
Apartamento;Méier;1;0;0;53;900.0;484.0;37.0
Apartamento;Vila Isabel;2;1;0;63;1300.0;500.0;
Casa;Vila da Penha;1;0;0;40;850.0;;
Apartamento;Humaitá;3;1;0;95;2300.0;1300.0;120.0
Apartamento;Curicica;1;1;0;45;700.0;356.0;126.0
Apartamento;Barra da Tijuca;2;1;0;90;2000.0;980.0;1600.0
Apartamento;Barra da Tijuca;1;1;1;80;1700.0;980.0;250.0
Apartamento;Barra da Tijuca;2;1;1;70;2200.0;1000.0;70.0
Apartamento;Tijuca;1;1;1;87;1400.0;1057.0;162.0
Casa de Condomínio;Santíssimo;2;1;0;70;800.0;200.0;
Apartamento;Méier;1;0;0;50;1000.0;390.0;16.0
Apartamento;Jardim Botânico;2;1;1;86;4100.0;830.0;257.0
Casa Comercial;Olaria;0;1;0;100;2000.0;;
Apartamento;Tijuca;2;1;0;60;1800.0;420.0;
Flat;Botafogo;1;1;1;50;2500.0;836.0;189.0
Apartamento;Pechincha;2;1;0;52;700.0;420.0;35.0
Apartamento;Recreio dos Bandeirantes;2;1;1;75;2300.0;1220.0;134.0
Apartamento;Freguesia (Jacarepaguá);2;1;0;55;1000.0;390.0;36.0
Apartamento;Água Santa;2;1;0;70;800.0;250.0;14.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;45;500.0;1100.0;
Apartamento;Lagoa;2;1;0;77;2700.0;1050.0;302.0
Conjunto Comercial/Sala;Centro;0;0;0;50;1200.0;1350.0;230.0
Apartamento;Barra da Tijuca;3;1;3;80;2800.0;1300.0;
Conjunto Comercial/Sala;Copacabana;0;0;0;73;4000.0;1363.0;294.0
Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;49;1200.0;617.0;69.0
Apartamento;Moneró;1;1;0;47;1200.0;290.0;49.0
Apartamento;Tijuca;2;1;0;70;1850.0;748.0;48.0
Apartamento;Leblon;2;1;1;82;5900.0;1128.0;300.0
Apartamento;Grajaú;2;0;0;70;1300.0;447.0;
Casa;Taquara;3;1;0;100;2100.0;250.0;
Conjunto Comercial/Sala;Centro;0;0;0;55;900.0;1219.0;138.0
Apartamento;Flamengo;2;1;1;60;3400.0;978.0;130.0
Apartamento;Itanhangá;2;1;1;58;900.0;500.0;212.0
Apartamento;Leme;1;0;0;55;2000.0;585.0;79.0
Casa;Campo Grande;2;1;0;100;1300.0;;
Apartamento;Vila Isabel;2;1;1;79;1300.0;950.0;30.0
Apartamento;Jardim Guanabara;2;0;0;92;1600.0;;99.0
Apartamento;Quintino Bocaiúva;2;0;0;80;900.0;170.0;
Apartamento;Ipanema;3;1;0;80;4000.0;1200.0;251.0
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;2000.0;580.0;80.0
Apartamento;Vila da Penha;2;0;0;70;1200.0;;27.0
Apartamento;Barra da Tijuca;1;1;1;68;2800.0;1250.0;219.0
Apartamento;Jardim Botânico;2;2;1;83;3500.0;1630.0;196.0
Conjunto Comercial/Sala;Botafogo;0;1;0;80;4500.0;2183.0;464.0
Conjunto Comercial/Sala;Tijuca;0;0;0;50;1200.0;1260.0;266.0
Conjunto Comercial/Sala;Jacarepaguá;0;1;0;40;1400.0;480.0;
Conjunto Comercial/Sala;Centro;0;0;0;44;900.0;150.0;166.0
Apartamento;Praça Seca;1;0;1;50;600.0;;
Casa de Condomínio;Campo Grande;2;2;0;100;1200.0;40.0;1.0
Apartamento;Barra da Tijuca;1;0;0;71;2100.0;1200.0;220.0
Apartamento;Tijuca;2;1;1;81;2350.0;849.0;80.0
Apartamento;Jacarepaguá;2;1;1;67;2000.0;636.0;75.0
Apartamento;São Francisco Xavier;3;1;0;90;1900.0;210.0;160.0
Apartamento;Lagoa;2;1;1;56;3500.0;1490.0;323.0
Apartamento;Recreio dos Bandeirantes;2;1;1;65;1800.0;680.0;100.0
Apartamento;Recreio dos Bandeirantes;2;1;1;70;1500.0;737.0;142.0
